,jpy_2d,can_2d,cny_2d,interest_2d,inflation_2d
2753,109.40190311101028,1.3463239170473855,6.8381975295063375,2.448451763277498,1.8415896210928773
2754,109.40160352077332,1.3463312190747014,6.838202008881317,2.4484352329203203,1.8411048229989526
2755,109.40130393135678,1.346338521141621,6.838206488259232,2.4484187026747444,1.8406201525280277
2756,109.40100434276063,1.346345823248145,6.83821096764008,2.4484021725407703,1.8401356096465058
2757,109.4007047549848,1.346353125394273,6.838215447023861,2.448385642518397,1.8396511943207992
2758,109.40040516802947,1.3463604275800056,6.838219926410579,2.448369112607624,1.8391669065173288
2759,109.40010558189452,1.346367729805343,6.838224405800231,2.44835258280845,1.8386827462025244
2760,109.39980599657999,1.3463750320702852,6.838228885192817,2.448336053120874,1.8381987133428244
2761,109.39950641208586,1.3463823343748325,6.838233364588335,2.4483195235448965,1.8377148079046766
2762,109.399206828412,1.3463896367189854,6.838237843986789,2.448302994080515,1.837231029854537
2763,109.39890724555865,1.3463969391027435,6.838242323388178,2.4482864647277305,1.8367473791588709
2764,109.39860766352568,1.3464042415261075,6.838246802792501,2.4482699354865414,1.8362638557841526
2765,109.3983080823131,1.3464115439890776,6.838251282199756,2.448253406356947,1.8357804596968643
2766,109.3980085019209,1.346418846491654,6.838255761609947,2.4482368773389465,1.8352971908634979
2767,109.39770892234898,1.3464261490338365,6.838260241023073,2.448220348432539,1.8348140492505536
2768,109.39740934359754,1.3464334516156258,6.838264720439131,2.448203819637724,1.834331034824541
2769,109.39710976566649,1.346440754237022,6.838269199858125,2.448187290954501,1.833848147551978
2770,109.3968101885558,1.3464480568980253,6.838273679280054,2.448170762382868,1.8333653873993914
2771,109.3965106122655,1.3464553595986357,6.838278158704916,2.4481542339228266,1.832882754333317
2772,109.39621103679546,1.3464626623388538,6.838282638132711,2.4481377055743736,1.8324002483202992
2773,109.39591146214589,1.3464699651186796,6.838287117563442,2.4481211773375096,1.8319178693268916
2774,109.3956118883167,1.3464772679381132,6.838291596997107,2.4481046492122336,1.831435617319656
2775,109.39531231530785,1.346484570797155,6.838296076433707,2.448088121198545,1.8309534922651634
2776,109.39501274311937,1.346491873695805,6.838300555873239,2.4480715932964423,1.8304714941299933
2777,109.39471317175125,1.3464991766340637,6.838305035315707,2.448055065505925,1.8299896228807349
2778,109.3944136012034,1.3465064796119313,6.838309514761109,2.4480385378269935,1.8295078784839849
2779,109.39411403147598,1.3465137826294078,6.838313994209445,2.448022010259646,1.8290262609063492
2780,109.39381446256893,1.3465210856864933,6.838318473660715,2.4480054828038815,1.8285447701144435
2782,109.39351489448224,1.3465283887831885,6.83832295311492,2.4479889554597,1.8280634060748906
2783,109.39321532721587,1.3465356919194933,6.8383274325720595,2.4479724282271,1.8275821687543237
2784,109.39291576076977,1.346542995095408,6.838331912032132,2.447955901106081,1.8271010581193838
2785,109.3926161951441,1.3465502983109325,6.83833639149514,2.4479393740966433,1.826620074136721
2786,109.39231663033878,1.3465576015660676,6.8383408709610825,2.4479228471987846,1.8261392167729935
2787,109.3920170663538,1.346564904860813,6.838345350429959,2.447906320412505,1.8256584859948697
2788,109.39171750318916,1.3465722081951694,6.838349829901768,2.4478897937378035,1.8251778817690256
2789,109.39141794084475,1.3465795115691366,6.838354309376514,2.4478732671746792,1.8246974040621464
2790,109.39111837932077,1.346586814982715,6.838358788854193,2.4478567407231315,1.824217052840926
2791,109.39081881861712,1.3465941184359045,6.838363268334805,2.4478402143831604,1.8237368280720672
2792,109.3905192587338,1.3466014219287057,6.838367747818353,2.4478236881547635,1.8232567297222813
2793,109.39021969967081,1.3466087254611188,6.838372227304835,2.4478071620379414,1.8227767577582883
2794,109.38992014142804,1.3466160290331437,6.838376706794252,2.4477906360326926,1.8222969121468175
2795,109.3896205840057,1.346623332644781,6.838381186286601,2.447774110139017,1.8218171928546065
2796,109.38932102740367,1.3466306362960307,6.838385665781886,2.4477575843569133,1.8213375998484018
2797,109.38902147162194,1.346637939986893,6.838390145280106,2.4477410586863813,1.8208581330949587
2798,109.38872191666056,1.3466452437173684,6.838394624781258,2.4477245331274196,1.8203787925610413
2799,109.38842236251936,1.3466525474874567,6.838399104285346,2.4477080076800277,1.819899578213422
2800,109.38812280919859,1.3466598512971584,6.838403583792369,2.447691482344205,1.8194204900188824
2801,109.38782325669813,1.3466671551464733,6.838408063302325,2.4476749571199505,1.8189415279442127
2802,109.38752370501797,1.3466744590354023,6.838412542815215,2.447658432007264,1.818462691956212
2803,109.3872241541581,1.346681762963945,6.83841702233104,2.447641907006144,1.8179839820216877
2804,109.38692460411845,1.3466890669321019,6.838421501849799,2.4476253821165903,1.8175053981074567
2805,109.3866250548992,1.3466963709398732,6.838425981371493,2.4476088573386017,1.8170269401803443
2806,109.38632550650023,1.3467036749872592,6.83843046089612,2.4475923326721776,1.8165486082071836
2807,109.38602595892156,1.3467109790742597,6.838434940423683,2.4475758081173176,1.816070402154818
2808,109.3857264121632,1.3467182832008755,6.83843941995418,2.4475592836740203,1.8155923219900985
2809,109.385426866225,1.3467255873671065,6.83844389948761,2.447542759342286,1.815114367679885
2810,109.3851273211072,1.3467328915729528,6.838448379023975,2.4475262351221128,1.814636539191047
2812,109.3848277768097,1.3467401958184149,6.838452858563275,2.4475097110135002,1.8141588364904617
2813,109.38452823333247,1.3467475001034928,6.838457338105509,2.447493187016448,1.8136812595450154
2814,109.38422869067553,1.346754804428187,6.838461817650677,2.447476663130955,1.8132038083216029
2815,109.38392914883876,1.3467621087924972,6.838466297198779,2.4474601393570206,1.8127264827871283
2816,109.38362960782237,1.346769413196424,6.8384707767498165,2.4474436156946435,1.8122492829085035
2817,109.38333006762625,1.3467767176399676,6.838475256303788,2.447427092143824,1.81177220865265
2818,109.3830305282504,1.346784022123128,6.838479735860693,2.447410568704561,1.8112952599864973
2819,109.38273098969482,1.3467913266459057,6.838484215420533,2.447394045376853,1.8108184368769844
2820,109.38243145195942,1.346798631208301,6.838488694983307,2.4473775221607,1.8103417392910581
2821,109.38213191504438,1.3468059358103135,6.838493174549015,2.447360999056101,1.8098651671956747
2822,109.3818323789496,1.346813240451944,6.838497654117658,2.4473444760630554,1.8093887205577988
2823,109.38153284367507,1.3468205451331925,6.838502133689236,2.447327953181562,1.8089123993444032
2824,109.38123330922082,1.3468278498540591,6.838506613263748,2.447311430411621,1.8084362035224706
