$jpy
                fcst        lower      upper         CI
 [85,] -2.256062e-05 -0.017556451 0.01751133 0.01753389
 [86,]  1.768253e-06 -0.017532124 0.01753566 0.01753389
 [87,] -2.404405e-07 -0.017534134 0.01753365 0.01753389
 [88,]  3.551951e-06 -0.017530342 0.01753745 0.01753389
 [89,]  3.016921e-06 -0.017530879 0.01753691 0.01753390
 [90,]  7.814327e-06 -0.017526084 0.01754171 0.01753390
 [91,] -3.405018e-07 -0.017534239 0.01753356 0.01753390
 [92,] -1.047242e-05 -0.017544373 0.01752343 0.01753390
 [93,] -1.120563e-06 -0.017535021 0.01753278 0.01753390
 [94,] -1.632788e-06 -0.017535534 0.01753227 0.01753390
 [95,] -1.536528e-06 -0.017535438 0.01753237 0.01753390
 [96,]  2.531945e-06 -0.017531370 0.01753643 0.01753390
 [97,]  4.069629e-06 -0.017529833 0.01753797 0.01753390
 [98,] -2.253999e-06 -0.017536157 0.01753165 0.01753390
 [99,] -2.455042e-06 -0.017536358 0.01753145 0.01753390
[100,] -3.056717e-07 -0.017534209 0.01753360 0.01753390
[101,] -1.643407e-07 -0.017534068 0.01753374 0.01753390
[102,] -3.850300e-06 -0.017537754 0.01753005 0.01753390
[103,]  3.513546e-06 -0.017530390 0.01753742 0.01753390
[104,] -2.912098e-06 -0.017536816 0.01753099 0.01753390
[105,] -2.813792e-06 -0.017536718 0.01753109 0.01753390
[106,] -1.408520e-06 -0.017535313 0.01753250 0.01753390
[107,]  3.582290e-06 -0.017530322 0.01753749 0.01753390
[108,] -8.475360e-07 -0.017534752 0.01753306 0.01753390
[109,]  3.313720e-07 -0.017533573 0.01753424 0.01753390
[110,] -3.191447e-07 -0.017534224 0.01753359 0.01753390
[111,] -2.284828e-06 -0.017536189 0.01753162 0.01753390
[112,] -3.144996e-06 -0.017537050 0.01753076 0.01753390
[113,]  1.098059e-06 -0.017532807 0.01753500 0.01753390
[114,] -6.193808e-08 -0.017533967 0.01753384 0.01753390
[115,]  1.194514e-06 -0.017532710 0.01753510 0.01753390
[116,] -5.135164e-07 -0.017534418 0.01753339 0.01753390
[117,] -3.821439e-07 -0.017534287 0.01753352 0.01753390
[118,] -1.538767e-06 -0.017535444 0.01753237 0.01753390
[119,] -1.540481e-06 -0.017535445 0.01753236 0.01753390
[120,] -2.511289e-07 -0.017534156 0.01753365 0.01753390
[121,] -6.132541e-07 -0.017534518 0.01753329 0.01753390
[122,] -4.802944e-07 -0.017534385 0.01753342 0.01753390
[123,] -6.035426e-07 -0.017534508 0.01753330 0.01753390
[124,] -4.660797e-07 -0.017534371 0.01753344 0.01753390
[125,] -7.398524e-07 -0.017534645 0.01753317 0.01753390
